id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-07-13T10:39:32;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-07-13T05:39:52;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-07-13T07:48:54;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-07-13T00:33:19;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-07-13T15:56:25;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-07-13T03:18:31;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-07-13T06:15:03;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-07-12T20:17:42;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-07-12T23:07:18;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-07-12T23:49:43;601;74069
